date,start_stop_alige_count_,start_stop_alige_count_Alive,start_stop_alige_count_Start,start_stop_alige_count_Stop,type__count_Billing-Accounting,type__count_Billing-Authentication,mean_delay,mean_input_trafic,mean_output_trafic,count_failed
2020-04-22 00:00:00,33085,179362,22712,22388,239344,18203,0.2697179026723904,2907789347.0990386,12624008569.250628,2011
2020-04-22 01:00:00,38363,209859,25201,19882,271724,21581,0.21832993485169314,2943543616.963124,13335899289.88551,2517
2020-04-22 02:00:00,37253,169129,24801,15142,225489,20836,0.21645589267879708,3674642721.457397,15016752112.936062,2487
2020-04-22 03:00:00,37810,155948,29919,16784,219988,20473,0.2122316945465119,2706125838.1265836,12930366383.40476,2536
2020-04-22 04:00:00,36532,158745,26027,11468,212599,20173,0.21407488187399565,4032781526.3342986,16168315074.15782,2492
2020-04-22 05:00:00,37055,149729,29778,12309,208307,20564,0.20141952034559302,2749885156.9867992,12845414300.449265,2522
2020-04-22 06:00:00,40586,193714,40663,15698,268183,22478,0.20170742024851937,4091597043.339197,16752267397.228407,2543
2020-04-22 07:00:00,47389,189230,55029,19498,284416,26730,0.19107876084296044,3077997919.3763175,13239566443.805914,2530
2020-04-22 08:00:00,55716,176069,72897,25362,298888,31156,0.1933800891797556,4187442242.7970324,17487977273.804306,2760
2020-04-22 09:00:00,59169,176247,69073,28839,300990,32338,0.2073611724714606,3028063552.2152023,13569460984.978394,2810
2020-04-22 10:00:00,60988,199778,68574,30875,328749,31466,0.217381940642804,3630417251.849371,15290052255.235834,2816
2020-04-22 11:00:00,64392,188371,69072,35092,325152,31775,0.2055199008633241,2769791147.2944427,12523781961.539131,2931
2020-04-22 12:00:00,64132,200879,69657,33544,335833,32379,0.1884906368026638,3496266896.4755077,14962274305.499311,2914
2020-04-22 13:00:00,67419,192687,70662,36117,334079,32806,0.18876155936697975,2749854159.930504,12521428318.351519,2968
2020-04-22 14:00:00,68961,203113,73514,37854,350536,32906,0.1880052841095992,3475835090.205974,14565453129.07709,2936
2020-04-22 15:00:00,76806,192048,87297,45736,366126,35761,0.18356606211299661,2734492892.743006,12478964874.214035,2912
2020-04-22 16:00:00,72955,199760,77543,39367,355412,34213,0.187834431061015,3415846541.736889,14449111060.8146,2899
2020-04-22 17:00:00,73255,199263,78829,37976,354842,34481,0.18495637428143552,2784817304.1199718,12554919823.610224,2884
2020-04-22 18:00:00,68767,200442,74601,37661,348946,32525,0.182910406782121,3378070091.2942214,14520778086.263773,2852
2020-04-22 19:00:00,69230,203384,75216,37369,352136,33063,0.1951416118235155,2852125198.0902376,12584432398.268532,2942
2020-04-22 20:00:00,69696,200241,74747,40802,353439,32047,0.2135669768655732,3184157397.4019575,14421999284.127998,2915
2020-04-22 21:00:00,68116,206126,66314,42009,351646,30919,0.24949344328367926,2973913527.7679973,12721563023.610006,3120
2020-04-22 22:00:00,65014,195536,55418,43813,330634,29147,0.2289947295115144,3205650772.570347,14318346192.841011,2938
2020-04-22 23:00:00,58046,194683,44972,38165,310016,25850,0.28358221365954733,3275266988.4143305,14187802104.14134,2866
2020-04-23 00:00:00,50072,214378,38730,33312,311858,24634,0.27680651835692116,2944424771.4954257,13676982719.08622,2766
2020-04-23 01:00:00,42921,208710,31487,22137,282862,22393,0.21085332977200558,3637599427.44283,14646616237.95718,2663
2020-04-23 02:00:00,38855,166634,27430,15545,226831,21633,0.21443904830435623,2866569334.507117,13619659147.139406,2648
2020-04-23 03:00:00,35446,158607,23660,12564,210346,19931,0.21869146213016502,3972202543.5716624,16239744395.140942,2613
2020-04-23 04:00:00,34528,152944,23577,10485,201768,19766,0.2160195974358181,2955169277.2116823,14066389429.608093,2598
2020-04-23 05:00:00,35132,156565,26642,9955,207514,20780,0.210678843836171,4214709205.1223755,17070578583.750414,2681
2020-04-23 06:00:00,37901,184174,36713,12966,249351,22403,0.20867404442820728,3275421945.7125444,14668565563.663229,2717
2020-04-23 07:00:00,44812,199533,53614,18442,290616,25785,0.1991237054516822,4058264992.2466016,16939274331.883133,2677
2020-04-23 08:00:00,52449,168447,67347,21335,279640,29938,0.19224749512827502,3426036939.6551833,15037220062.242052,2763
2020-04-23 09:00:00,58589,187461,67588,29038,310652,32024,0.20667965527926882,3987929353.649638,16971253718.935095,2796
2020-04-23 10:00:00,59924,189917,64962,28301,312036,31068,0.21655922348905382,2983598586.3836484,13491366847.7715,2869
2020-04-23 11:00:00,60896,202464,62282,29821,323901,31562,0.21590732286300146,3723240852.600456,15810200579.86233,2853
2020-04-23 12:00:00,59628,195161,57896,28977,310407,31255,0.1901152970515693,2983196828.0623455,13284063742.908129,2873
2020-04-23 13:00:00,61759,200096,57746,33994,321465,32130,0.19704563612535567,3645158423.109086,15919818297.73506,2899
2020-04-23 14:00:00,62332,195207,63510,32023,320602,32470,0.19143330648181095,2905385137.5984025,13240272637.713339,2783
2020-04-23 15:00:00,64721,196268,69185,33961,330969,33166,0.1903808859431962,3705536835.509106,15766165508.48072,2749
2020-04-23 16:00:00,64947,196538,69165,36679,334363,32966,0.19125640352107062,2891753394.7186656,13146833315.047304,2673
2020-04-23 17:00:00,62078,197223,65045,33696,325999,32043,0.19192556724090906,3597021621.332398,15359991452.181467,2595
2020-04-23 18:00:00,56446,201486,58000,29275,315085,30122,0.19660427820858137,2992185475.752744,13502375613.053228,2602
2020-04-23 19:00:00,53292,201046,52904,27183,305456,28969,0.21191548758146964,3553494755.276985,15530081311.102774,2610
2020-04-23 20:00:00,53674,206155,49345,28278,307686,29766,0.2318545336188649,3077359763.0402374,13544986071.669151,2710
2020-04-23 21:00:00,52442,200556,41513,30324,296342,28493,0.2642764523673258,3372683595.3590913,15418468077.076515,2674
2020-04-23 22:00:00,50608,203112,34118,34613,296519,25932,0.24233536146753323,3266798107.85307,13922286754.021992,2507
2020-04-23 23:00:00,45503,188874,29167,29842,269831,23555,0.26680515816869665,3512892897.8141427,15954513121.98532,2447
2020-04-24 00:00:00,39274,220283,23639,26462,286871,22787,0.26675055163368444,3319872579.7048573,14065228119.49793,2404
2020-04-24 01:00:00,36286,210210,20965,17595,263172,21884,0.21334452722293998,3211092704.522201,15181909491.128904,2375
2020-04-24 02:00:00,37988,168087,23927,15303,222742,22563,0.21276439323123733,3779691270.1664047,15190218925.233187,2390
2020-04-24 03:00:00,36004,162196,21889,11667,210398,21358,0.211002711897184,2945536024.570869,14345288182.996279,2381
2020-04-24 04:00:00,33750,156225,20608,9471,199678,20376,0.21416291083799843,4204324162.6671133,17065713484.266941,2321
2020-04-24 05:00:00,34564,153934,24760,9255,201108,21405,0.2091159570774751,3044730720.22026,14655965091.450483,2319
2020-04-24 06:00:00,38481,190946,36562,15603,258412,23180,0.20952698888431195,4453777281.993503,17675277252.69783,2351
2020-04-24 07:00:00,44096,191979,53307,17535,280472,26445,0.19395008758025192,3248873213.943345,14626385477.523087,2414
2020-04-24 08:00:00,48885,176523,63349,20766,280226,29297,0.198266260085842,4451766648.164277,18845458558.84519,2516
2020-04-24 09:00:00,51186,180895,59292,24198,286301,29270,0.21928597501144917,3305280266.507326,14675873611.566095,2465
2020-04-24 10:00:00,52960,197850,54052,26132,302491,28503,0.21455118653861663,3930838038.976181,16775127141.046566,2504
2020-04-24 11:00:00,54329,192942,55708,25953,298978,29954,0.20559180547480058,3070245110.1668334,13977666648.05466,2515
2020-04-24 12:00:00,56368,201257,55392,27829,310536,30310,0.2068592032002075,3829252461.7997084,16351074515.28319,2649
2020-04-24 13:00:00,58258,193878,56609,30372,308931,30186,0.20267484696422403,3051931172.450069,13772823993.114029,2742
2020-04-24 14:00:00,55896,200857,52629,27201,306728,29855,0.20680220364713497,3803616628.420402,16430084411.534294,2724
2020-04-24 15:00:00,53501,196974,51811,26552,300390,28448,0.2112136405549616,3088634676.015327,14052429952.428492,2618
