iter	Passed	Remaining
0	3	3484
1	7	3582
2	9	3173
3	11	2972
4	13	2780
5	16	2723
6	17	2528
7	18	2354
8	20	2217
9	22	2213
10	25	2294
11	26	2187
12	28	2143
13	29	2072
14	31	2037
15	32	1986
16	33	1933
17	34	1884
18	35	1835
19	36	1786
20	37	1751
21	39	1767
22	41	1763
23	42	1734
24	43	1705
25	45	1695
26	46	1677
27	47	1655
28	48	1632
29	49	1612
30	51	1594
31	52	1577
32	53	1562
33	54	1546
34	55	1538
35	57	1545
36	59	1541
37	60	1530
38	62	1530
39	63	1513
40	64	1500
41	65	1491
42	66	1482
43	67	1466
44	68	1456
45	69	1446
46	70	1439
47	72	1429
48	73	1428
49	76	1444
50	77	1441
51	78	1432
52	80	1435
53	81	1428
54	82	1420
55	83	1414
56	85	1407
57	86	1399
58	87	1391
59	88	1384
60	89	1376
61	91	1391
62	93	1389
63	94	1384
64	95	1373
65	97	1373
66	100	1392
67	102	1399
68	103	1399
69	104	1392
70	105	1386
71	107	1379
72	109	1385
73	110	1384
74	111	1379
75	112	1373
76	114	1373
77	115	1367
78	116	1361
79	117	1353
80	118	1348
81	119	1342
82	120	1336
83	121	1330
84	123	1325
85	124	1319
86	126	1323
87	127	1323
88	128	1319
89	130	1314
90	131	1314
91	132	1310
92	133	1304
93	134	1299
94	135	1294
95	137	1290
96	138	1285
97	139	1280
98	140	1276
99	141	1276
100	143	1275
101	144	1274
102	145	1270
103	147	1269
104	149	1271
105	150	1267
106	151	1264
107	152	1259
108	153	1256
109	154	1253
110	155	1246
111	156	1242
112	157	1238
113	159	1237
114	161	1242
115	162	1239
116	163	1235
117	165	1234
118	166	1232
119	167	1229
120	168	1225
121	169	1222
122	171	1219
123	172	1216
124	173	1213
125	174	1208
126	175	1205
127	177	1208
128	180	1219
129	183	1229
130	187	1240
131	189	1247
132	192	1251
133	192	1246
134	196	1260
135	199	1267
136	202	1272
137	204	1278
138	206	1276
139	207	1273
140	208	1270
141	210	1269
142	213	1277
143	215	1278
144	216	1275
145	217	1274
146	219	1274
147	220	1271
148	222	1268
149	223	1264
150	224	1261
151	225	1257
152	226	1252
153	227	1249
154	228	1246
155	230	1246
156	231	1245
157	233	1243
158	234	1240
159	236	1239
160	237	1237
161	238	1234
162	239	1232
163	241	1229
164	242	1226
165	243	1223
166	244	1220
167	245	1217
168	247	1218
169	249	1217
170	250	1214
171	251	1211
172	253	1211
173	254	1208
174	255	1205
175	256	1202
176	257	1199
177	259	1196
178	260	1194
179	261	1191
180	262	1189
181	264	1188
182	265	1187
183	267	1184
184	268	1182
185	269	1179
186	271	1179
187	272	1177
188	273	1174
189	274	1171
190	275	1168
191	276	1165
192	278	1162
193	279	1161
194	280	1158
195	282	1159
196	284	1157
197	285	1155
198	286	1152
199	287	1151
200	289	1150
201	290	1147
202	291	1145
203	292	1142
204	293	1140
205	295	1137
206	296	1135
207	297	1133
208	299	1133
209	300	1132
210	302	1132
211	304	1132
212	305	1130
213	307	1127
214	308	1126
215	309	1124
216	310	1122
217	312	1119
218	313	1116
219	314	1114
220	315	1112
221	317	1113
222	318	1111
223	320	1109
224	321	1106
225	322	1106
226	324	1103
227	325	1101
228	326	1099
229	327	1097
230	328	1094
231	329	1092
232	331	1090
233	332	1087
234	334	1088
235	335	1086
236	336	1084
237	337	1082
238	339	1081
239	340	1079
240	341	1076
241	342	1074
242	344	1072
243	345	1070
244	346	1067
245	347	1065
246	348	1063
247	349	1061
248	352	1062
249	354	1062
250	357	1066
251	358	1064
252	359	1062
253	360	1060
254	362	1058
255	363	1056
256	364	1053
257	365	1051
258	366	1049
259	368	1048
260	371	1051
261	374	1054
262	375	1053
263	377	1052
264	379	1052
265	380	1050
266	382	1049
267	383	1047
268	385	1046
269	386	1045
270	387	1043
271	389	1041
272	390	1040
273	392	1040
274	394	1039
275	395	1037
276	396	1035
277	398	1033
278	399	1031
279	400	1029
280	401	1027
281	403	1026
282	404	1024
283	405	1022
284	406	1020
285	407	1018
286	409	1016
287	410	1014
288	411	1012
289	412	1010
290	413	1008
291	414	1005
292	416	1004
293	417	1002
294	418	999
295	420	999
296	421	997
297	422	995
298	423	993
299	425	992
300	426	990
301	427	988
302	428	986
303	429	984
304	431	983
