date,start_stop_alige_count_,start_stop_alige_count_Alive,start_stop_alige_count_Start,start_stop_alige_count_Stop,type__count_Billing-Accounting,type__count_Billing-Authentication,mean_delay,mean_input_trafic,mean_output_trafic,count_failed
2020-04-22 00:00:00,33085,179362,22712,22388,239344,18203,0.2697179026723904,2907789347.0990386,12624008569.250628,2011
2020-04-22 01:00:00,38363,209859,25201,19882,271724,21581,0.21832993485169316,2943543616.963124,13335899289.88551,2517
2020-04-22 02:00:00,37253,169129,24801,15142,225489,20836,0.21645589267879708,3674642721.457397,15016752112.936062,2487
2020-04-22 03:00:00,37810,155948,29919,16784,219988,20473,0.2122316945465119,2706125838.126584,12930366383.404758,2536
2020-04-22 04:00:00,36532,158745,26027,11468,212599,20173,0.21407488187399565,4032781526.3342986,16168315074.157818,2492
2020-04-22 05:00:00,37055,149729,29778,12309,208307,20564,0.20141952034559304,2749885156.986799,12845414300.449265,2522
2020-04-22 06:00:00,40586,193714,40663,15698,268183,22478,0.20170742024851934,4091597043.3391967,16752267397.228409,2543
2020-04-22 07:00:00,47389,189230,55029,19498,284416,26730,0.19107876084296044,3077997919.376317,13239566443.805914,2530
2020-04-22 08:00:00,55716,176069,72897,25362,298888,31156,0.1933800891797556,4187442242.797032,17487977273.804306,2760
2020-04-22 09:00:00,59169,176247,69073,28839,300990,32338,0.2073611724714606,3028063552.2152023,13569460984.978394,2810
2020-04-22 10:00:00,60988,199778,68574,30875,328749,31466,0.21738194064280397,3630417251.849371,15290052255.235834,2816
2020-04-22 11:00:00,64392,188371,69072,35092,325152,31775,0.2055199008633241,2769791147.294443,12523781961.539131,2931
2020-04-22 12:00:00,64132,200879,69657,33544,335833,32379,0.1884906368026638,3496266896.4755077,14962274305.499313,2914
2020-04-22 13:00:00,67419,192687,70662,36117,334079,32806,0.18876155936697972,2749854159.930504,12521428318.35152,2968
2020-04-22 14:00:00,68961,203113,73514,37854,350536,32906,0.1880052841095992,3475835090.2059736,14565453129.077091,2936
2020-04-22 15:00:00,76806,192048,87297,45736,366126,35761,0.1835660621129966,2734492892.7430058,12478964874.214035,2912
