hour,mean_delay,count
2020.04.30 00,0.3386198621731474,215437
2020.04.30 01,0.24157802500756748,214455
2020.04.30 02,0.2434259981713505,233508
2020.04.30 03,0.23761724857825706,160895
2020.04.30 04,0.24397267561913513,214689
2020.04.30 05,0.2314578398909661,159229
2020.04.30 06,0.23421850520244603,273332
2020.04.30 07,0.21554174317734193,222348
2020.04.30 08,0.22776537928758492,280779
2020.04.30 09,0.23202108231440488,225161
2020.04.30 10,0.2557936005506609,307626
2020.04.30 11,0.22630435597292534,268894
2020.04.30 12,0.20975195116507497,311949
2020.04.30 13,0.21256392242762726,249986
2020.04.30 14,0.21441472624780017,301846
2020.04.30 15,0.20814174365782487,253778
2020.04.30 16,0.22114747734668797,293688
2020.04.30 17,0.22013759171627997,238082
2020.04.30 18,0.22659595858815468,273545
2020.04.30 19,0.23417962830455166,242505
2020.04.30 20,0.2561879699469602,263268
2020.04.30 21,0.2945743586873819,254029
2020.04.30 22,0.2716804691891071,240110
2020.04.30 23,0.3136067651131439,255936
2020.05.01 00,0.32782685996857724,45197
